architecture,scenario,method,metric,mean,sample_std
baseline-256x2,static,bp,final_test_accuracy,0.9825666666666667,0.0009609023536933089
baseline-256x2,static,bp,final_train_accuracy,0.9968958333333333,0.00030262164679866133
baseline-256x2,static,bp,epoch1_validation_accuracy,0.9453333333333335,0.0010103629710818437
baseline-256x2,static,bp,epoch1_validation_gain,0.8734166666666668,0.02306512518934161
baseline-256x2,static,bp,post_update_curve_mean,0.9722333333333334,0.0003682729965663955
baseline-256x2,static,bp,update_seconds_per_1000_samples,0.020749255904760195,6.366119669984443e-05
baseline-256x2,static,bp,peak_accelerator_memory_bytes,121787904.0,0.0
baseline-256x2,static,bp_minus_baseline,final_test_accuracy,0.0,0.0
baseline-256x2,static,bp_minus_baseline,final_train_accuracy,0.0,0.0
baseline-256x2,static,bp_minus_baseline,epoch1_validation_accuracy,0.0,0.0
baseline-256x2,static,bp_minus_baseline,epoch1_validation_gain,0.0,0.0
baseline-256x2,static,bp_minus_baseline,post_update_curve_mean,0.0,0.0
baseline-256x2,static,bp_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,static,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,static,pc,final_test_accuracy,0.9825333333333334,0.0007571877794400802
baseline-256x2,static,pc,final_train_accuracy,0.9969861111111111,0.00044504083250033387
baseline-256x2,static,pc,epoch1_validation_accuracy,0.9453333333333332,0.0005833333333333246
baseline-256x2,static,pc,epoch1_validation_gain,0.8734166666666666,0.02301871219488853
baseline-256x2,static,pc,post_update_curve_mean,0.9723777777777777,0.00012619796324001662
baseline-256x2,static,pc,update_seconds_per_1000_samples,0.03602470056030257,0.0007331549498924504
baseline-256x2,static,pc,peak_accelerator_memory_bytes,127450624.0,0.0
baseline-256x2,static,pc_minus_baseline,final_test_accuracy,0.0,0.0
baseline-256x2,static,pc_minus_baseline,final_train_accuracy,0.0,0.0
baseline-256x2,static,pc_minus_baseline,epoch1_validation_accuracy,0.0,0.0
baseline-256x2,static,pc_minus_baseline,epoch1_validation_gain,0.0,0.0
baseline-256x2,static,pc_minus_baseline,post_update_curve_mean,0.0,0.0
baseline-256x2,static,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,static,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,split,bp,final_average_accuracy,0.18117330643805682,0.007463666386079549
baseline-256x2,split,bp,prequential_accuracy,0.6141736111111111,0.03391331584935549
baseline-256x2,split,bp,mean_adaptation_gain,0.945341664893384,0.006587339758894009
baseline-256x2,split,bp,average_forgetting,0.966045751457654,0.005484375006233428
baseline-256x2,split,bp,backward_transfer,-0.966045751457654,0.005484375006233428
baseline-256x2,split,bp,update_seconds_per_1000_samples,0.021091281296674678,5.7050907653173545e-05
baseline-256x2,split,bp,peak_accelerator_memory_bytes,121543168.0,0.0
baseline-256x2,split,bp_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,split,bp_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,split,bp_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,split,bp_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,split,bp_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,split,bp_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,split,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,split,pc,final_average_accuracy,0.16917128929231803,0.012904347296607615
baseline-256x2,split,pc,prequential_accuracy,0.5718402777777777,0.019744289053584135
baseline-256x2,split,pc,mean_adaptation_gain,0.9309056892452872,0.006900593940084351
baseline-256x2,split,pc,average_forgetting,0.9630033033297063,0.007036772532915167
baseline-256x2,split,pc,backward_transfer,-0.9630033033297063,0.007036772532915167
baseline-256x2,split,pc,update_seconds_per_1000_samples,0.038081048307703695,0.00038159980687572286
baseline-256x2,split,pc,peak_accelerator_memory_bytes,127454720.0,0.0
baseline-256x2,split,pc_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,split,pc_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,split,pc_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,split,pc_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,split,pc_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,split,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,split,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,permuted,bp,final_average_accuracy,0.90992,0.0036719477120461027
baseline-256x2,permuted,bp,prequential_accuracy,0.8679305555555556,0.002244423387552482
baseline-256x2,permuted,bp,mean_adaptation_gain,0.8571333333333334,0.006342785928386155
baseline-256x2,permuted,bp,average_forgetting,0.05354166666666665,0.0040729544968405125
baseline-256x2,permuted,bp,backward_transfer,-0.05354166666666665,0.0040729544968405125
