architecture,scenario,method,metric,mean,sample_std
baseline-256x2,static,bp,final_test_accuracy,0.9826666666666667,0.001537313674346716
baseline-256x2,static,bp,final_train_accuracy,0.9970763888888889,0.00021074987368741146
baseline-256x2,static,bp,epoch1_validation_accuracy,0.9474166666666667,0.0015964370050556835
baseline-256x2,static,bp,epoch1_validation_gain,0.8459166666666667,0.00434293807359843
baseline-256x2,static,bp,post_update_curve_mean,0.9729361111111112,0.0005478070760702575
baseline-256x2,static,bp,update_seconds_per_1000_samples,0.020678339205420688,0.00016561489962211155
baseline-256x2,static,bp,peak_accelerator_memory_bytes,121787904.0,0.0
baseline-256x2,static,bp_minus_baseline,final_test_accuracy,0.0,0.0
baseline-256x2,static,bp_minus_baseline,final_train_accuracy,0.0,0.0
baseline-256x2,static,bp_minus_baseline,epoch1_validation_accuracy,0.0,0.0
baseline-256x2,static,bp_minus_baseline,epoch1_validation_gain,0.0,0.0
baseline-256x2,static,bp_minus_baseline,post_update_curve_mean,0.0,0.0
baseline-256x2,static,bp_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,static,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,static,pc,final_test_accuracy,0.9819333333333334,0.0012013880860626519
baseline-256x2,static,pc,final_train_accuracy,0.9970277777777777,0.00036582131086294157
baseline-256x2,static,pc,epoch1_validation_accuracy,0.9476388888888888,0.0012810947286222315
baseline-256x2,static,pc,epoch1_validation_gain,0.8461388888888889,0.004643045376729629
baseline-256x2,static,pc,post_update_curve_mean,0.9729527777777779,0.0006211734713278038
baseline-256x2,static,pc,update_seconds_per_1000_samples,0.03596399678762682,0.001165601548374634
baseline-256x2,static,pc,peak_accelerator_memory_bytes,127450624.0,0.0
baseline-256x2,static,pc_minus_baseline,final_test_accuracy,0.0,0.0
baseline-256x2,static,pc_minus_baseline,final_train_accuracy,0.0,0.0
baseline-256x2,static,pc_minus_baseline,epoch1_validation_accuracy,0.0,0.0
baseline-256x2,static,pc_minus_baseline,epoch1_validation_gain,0.0,0.0
baseline-256x2,static,pc_minus_baseline,post_update_curve_mean,0.0,0.0
baseline-256x2,static,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,static,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,split,bp,final_average_accuracy,0.18540931248949402,0.002744232689479574
baseline-256x2,split,bp,prequential_accuracy,0.6014444444444444,0.00571825982011755
baseline-256x2,split,bp,mean_adaptation_gain,0.945610884479602,0.010786698639968485
baseline-256x2,split,bp,average_forgetting,0.9618752904407476,0.002959052457962096
baseline-256x2,split,bp,backward_transfer,-0.9618752904407476,0.002959052457962096
baseline-256x2,split,bp,update_seconds_per_1000_samples,0.0211286273113815,6.096114796641612e-05
baseline-256x2,split,bp,peak_accelerator_memory_bytes,121543168.0,0.0
baseline-256x2,split,bp_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,split,bp_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,split,bp_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,split,bp_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,split,bp_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,split,bp_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,split,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,split,pc,final_average_accuracy,0.18329130946377545,0.0011469976203887697
baseline-256x2,split,pc,prequential_accuracy,0.5751180555555556,0.012642835540702843
baseline-256x2,split,pc,mean_adaptation_gain,0.9394872309617411,0.010599929693939913
baseline-256x2,split,pc,average_forgetting,0.95686822732557,0.003141981825012257
baseline-256x2,split,pc,backward_transfer,-0.95686822732557,0.003141981825012257
baseline-256x2,split,pc,update_seconds_per_1000_samples,0.038389017113521544,0.00016993821834108592
baseline-256x2,split,pc,peak_accelerator_memory_bytes,127454720.0,0.0
baseline-256x2,split,pc_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,split,pc_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,split,pc_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,split,pc_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,split,pc_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,split,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,split,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,permuted,bp,final_average_accuracy,0.9154399999999999,0.0042700351286611175
baseline-256x2,permuted,bp,prequential_accuracy,0.8695472222222222,0.002699685981396399
baseline-256x2,permuted,bp,mean_adaptation_gain,0.8429399999999999,0.003088300503513258
baseline-256x2,permuted,bp,average_forgetting,0.04699166666666663,0.007112152159039721
baseline-256x2,permuted,bp,backward_transfer,-0.04699166666666663,0.007112152159039721
baseline-256x2,permuted,bp,update_seconds_per_1000_samples,0.02443408001684012,8.852364944338169e-05
baseline-256x2,permuted,bp,peak_accelerator_memory_bytes,121751040.0,0.0
baseline-256x2,permuted,bp_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,permuted,bp_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,permuted,bp_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,permuted,bp_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,permuted,bp_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,permuted,bp_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,permuted,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,permuted,pc,final_average_accuracy,0.9132600000000001,0.004985940232293185
baseline-256x2,permuted,pc,prequential_accuracy,0.8701041666666667,0.0038514269541733994
baseline-256x2,permuted,pc,mean_adaptation_gain,0.8410333333333333,0.005163035282983516
baseline-256x2,permuted,pc,average_forgetting,0.049641666666666646,0.006527936759293367
baseline-256x2,permuted,pc,backward_transfer,-0.049641666666666646,0.006527936759293367
baseline-256x2,permuted,pc,update_seconds_per_1000_samples,0.040478446046319345,0.0003753142451665238
baseline-256x2,permuted,pc,peak_accelerator_memory_bytes,127454720.0,0.0
baseline-256x2,permuted,pc_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
wide-512x2,static,bp,final_test_accuracy,0.9849,0.0012165525060596376
wide-512x2,static,bp,final_train_accuracy,0.9992638888888888,0.0001048588116010005
wide-512x2,static,bp,epoch1_validation_accuracy,0.9592777777777778,0.001302597120854843
wide-512x2,static,bp,epoch1_validation_gain,0.8586111111111111,0.026131389879549764
wide-512x2,static,bp,post_update_curve_mean,0.977963888888889,8.552669065739177e-05
wide-512x2,static,bp,update_seconds_per_1000_samples,0.02067690896350678,0.0006239386955435113
