scenario,setting,metric,mean,sample_std
static,bp,final_test_accuracy,0.9826666666666667,0.001537313674346716
static,bp,final_train_accuracy,0.9970763888888889,0.00021074987368741146
static,bp,epoch1_validation_accuracy,0.9474166666666667,0.0015964370050556835
static,bp,epoch1_validation_gain,0.8459166666666667,0.00434293807359843
static,bp,post_update_curve_mean,0.9729361111111112,0.0005478070760702575
static,bp,update_seconds_per_1000_samples,0.02064507394508115,0.00015224494543295152
static,bp,peak_accelerator_memory_bytes,121787904.0,0.0
static,pc-t1,final_test_accuracy,0.8445666666666667,0.0017473789896108594
static,pc-t1,final_train_accuracy,0.8369861111111111,0.0032560262861232986
static,pc-t1,epoch1_validation_accuracy,0.7198333333333333,0.017854348987789447
static,pc-t1,epoch1_validation_gain,0.6183333333333333,0.012140096558283419
static,pc-t1,post_update_curve_mean,0.8015972222222222,0.0021629669266833122
static,pc-t1,update_seconds_per_1000_samples,0.021024154232188258,0.00034473984793938455
static,pc-t1,peak_accelerator_memory_bytes,125295104.0,0.0
static,pc-t5,final_test_accuracy,0.9819333333333334,0.0012013880860626519
static,pc-t5,final_train_accuracy,0.9970277777777777,0.00036582131086294157
static,pc-t5,epoch1_validation_accuracy,0.9476388888888888,0.0012810947286222315
static,pc-t5,epoch1_validation_gain,0.8461388888888889,0.004643045376729629
static,pc-t5,post_update_curve_mean,0.9729527777777779,0.0006211734713278038
static,pc-t5,update_seconds_per_1000_samples,0.03664053308446342,0.0007835140732906136
static,pc-t5,peak_accelerator_memory_bytes,125295104.0,0.0
static,pc-t10,final_test_accuracy,0.9818333333333333,0.0011676186592091138
static,pc-t10,final_train_accuracy,0.997125,0.0003614448244353866
static,pc-t10,epoch1_validation_accuracy,0.9476388888888888,0.001577474540500093
static,pc-t10,epoch1_validation_gain,0.8461388888888889,0.004354382636855411
static,pc-t10,post_update_curve_mean,0.9732111111111111,0.0005665645332796872
static,pc-t10,update_seconds_per_1000_samples,0.05313652606047974,0.00019909744474310058
static,pc-t10,peak_accelerator_memory_bytes,125295104.0,0.0
static,pc-t20,final_test_accuracy,0.9813666666666666,0.001985782801147542
static,pc-t20,final_train_accuracy,0.9968819444444444,0.0003322464920529415
static,pc-t20,epoch1_validation_accuracy,0.9482499999999999,0.0012332207155790536
static,pc-t20,epoch1_validation_gain,0.84675,0.004691155981679186
static,pc-t20,post_update_curve_mean,0.9728500000000001,0.0008967921225742173
static,pc-t20,update_seconds_per_1000_samples,0.08737568927424551,0.004728383800310116
static,pc-t20,peak_accelerator_memory_bytes,125295104.0,0.0
split,bp,final_average_accuracy,0.18540931248949402,0.002744232689479574
split,bp,prequential_accuracy,0.6014444444444444,0.00571825982011755
split,bp,mean_adaptation_gain,0.945610884479602,0.010786698639968485
split,bp,average_forgetting,0.9618752904407476,0.002959052457962096
split,bp,backward_transfer,-0.9618752904407476,0.002959052457962096
split,bp,update_seconds_per_1000_samples,0.02214168468133508,0.0017730505022579108
split,bp,peak_accelerator_memory_bytes,121543168.0,0.0
split,pc-t1,final_average_accuracy,0.11440578248445116,0.014653954100837916
split,pc-t1,prequential_accuracy,0.12877083333333333,0.015006523465739087
split,pc-t1,mean_adaptation_gain,0.5623871909881827,0.009570662664921372
split,pc-t1,average_forgetting,0.571600086082777,0.023605109100638937
split,pc-t1,backward_transfer,-0.571600086082777,0.023605109100638937
split,pc-t1,update_seconds_per_1000_samples,0.02227303379486696,1.0385857603013105e-05
split,pc-t1,peak_accelerator_memory_bytes,125299200.0,0.0
split,pc-t5,final_average_accuracy,0.18329130946377545,0.0011469976203887697
split,pc-t5,prequential_accuracy,0.5751180555555556,0.012642835540702843
split,pc-t5,mean_adaptation_gain,0.9394872309617411,0.010599929693939913
split,pc-t5,average_forgetting,0.95686822732557,0.003141981825012257
split,pc-t5,backward_transfer,-0.95686822732557,0.003141981825012257
split,pc-t5,update_seconds_per_1000_samples,0.03858858329672014,0.002460715163312186
split,pc-t5,peak_accelerator_memory_bytes,125299200.0,0.0
split,pc-t10,final_average_accuracy,0.16500252143217348,0.03896421277595138
split,pc-t10,prequential_accuracy,0.5648680555555555,0.007578075481892416
